"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_act_list","female_repress_list","male_act_list","male_repress_list"
"GO:0045893","GO:0045893",1,"GO:0006357",0.784,840,840,"positive regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1902680","GO:1902680",1,"GO:0006357",0.625,2,2,"positive regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0042221","GO:0042221",7,"GO:0009410",0.788,0,0,"response to chemical","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0052695","GO:0052695",8,"GO:0006629",0.256,35,35,"cellular glucuronidation","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0044237","GO:0044237",8,"GO:0006629",0.33,0,0,"cellular metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0051254","GO:0051254",1,"GO:0006357",0.502,0,0,"positive regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0042178","GO:0042178",7,"GO:0009410",0.407,25,25,"xenobiotic catabolic process","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0006063","GO:0006063",8,"GO:0006629",0.278,0,0,"uronic acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0019585","GO:0019585",8,"GO:0006629",0.265,0,0,"glucuronate metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0010557","GO:0010557",5,"GO:0010628",0.546,1,1,"positive regulation of macromolecule biosynthetic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0006355","GO:0006355",1,"GO:0006357",0.939,584,584,"regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1903506","GO:1903506",1,"GO:0006357",0.806,2,2,"regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:2001141","GO:2001141",1,"GO:0006357",0.796,3,3,"regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006351","GO:0006351",1,"GO:0006357",0.694,79,79,"DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0097659","GO:0097659",1,"GO:0006357",0.596,0,0,"nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031328","GO:0031328",1,"GO:0006357",0.366,3,3,"positive regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0044281","GO:0044281",5,"GO:0010628",0.202,1,1,"small molecule metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0045935","GO:0045935",1,"GO:0006357",0.458,0,0,"positive regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0032774","GO:0032774",1,"GO:0006357",0.62,0,0,"RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009891","GO:0009891",1,"GO:0006357",0.253,0,0,"positive regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0051252","GO:0051252",1,"GO:0006357",0.633,11,11,"regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0008202","GO:0008202",1,"GO:0006357",0.176,58,58,"steroid metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010556","GO:0010556",5,"GO:0010628",0.444,0,0,"regulation of macromolecule biosynthetic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:1901360","GO:1901360",1,"GO:0006357",0.206,0,0,"organic cyclic compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0008210","GO:0008210",8,"GO:0006629",0.501,36,36,"estrogen metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0044249","GO:0044249",8,"GO:0006629",0.24,0,0,"cellular biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0006629","GO:0006629",8,"GO:0006629",1,179,179,"lipid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0000122","GO:0000122",1,"GO:0006357",0.808,1119,1119,"negative regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009058","GO:0009058",5,"GO:0010628",0.202,15,15,"biosynthetic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0009889","GO:0009889",1,"GO:0006357",0.321,0,0,"regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0034654","GO:0034654",1,"GO:0006357",0.564,0,0,"nucleobase-containing compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010817","GO:0010817",9,"GO:0042593",0.368,4,4,"regulation of hormone levels","glucose homeostasis",TRUE,TRUE,TRUE,TRUE
"GO:1901576","GO:1901576",5,"GO:0010628",0.25,0,0,"organic substance biosynthetic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0019219","GO:0019219",1,"GO:0006357",0.568,0,0,"regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031326","GO:0031326",1,"GO:0006357",0.478,0,0,"regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0018130","GO:0018130",8,"GO:0006629",0.188,0,0,"heterocycle biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0019438","GO:0019438",8,"GO:0006629",0.188,1,1,"aromatic compound biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:1901362","GO:1901362",1,"GO:0006357",0.303,0,0,"organic cyclic compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006749","GO:0006749",8,"GO:0006629",0.252,53,53,"glutathione metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0008152","GO:0008152",5,"GO:0010628",0.275,8,8,"metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0071704","GO:0071704",5,"GO:0010628",0.355,1,1,"organic substance metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0045892","GO:0045892",1,"GO:0006357",0.746,680,680,"negative regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1903507","GO:1903507",1,"GO:0006357",0.641,3,3,"negative regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006721","GO:0006721",8,"GO:0006629",0.617,0,0,"terpenoid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:1902679","GO:1902679",1,"GO:0006357",0.625,2,2,"negative regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0120254","GO:0120254",5,"GO:0010628",0.27,0,0,"olefinic compound metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0042445","GO:0042445",9,"GO:0042593",0.273,15,15,"hormone metabolic process","glucose homeostasis",TRUE,TRUE,TRUE,TRUE
"GO:0051253","GO:0051253",1,"GO:0006357",0.502,0,0,"negative regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010558","GO:0010558",5,"GO:0010628",0.346,0,0,"negative regulation of macromolecule biosynthetic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0006720","GO:0006720",8,"GO:0006629",0.663,3,3,"isoprenoid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0009059","GO:0009059",5,"GO:0010628",0.302,0,0,"macromolecule biosynthetic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0031325","GO:0031325",1,"GO:0006357",0.296,0,0,"positive regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031323","GO:0031323",1,"GO:0006357",0.383,0,0,"regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0044271","GO:0044271",8,"GO:0006629",0.176,0,0,"cellular nitrogen compound biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0009890","GO:0009890",1,"GO:0006357",0.253,2,2,"negative regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0051173","GO:0051173",1,"GO:0006357",0.241,2,2,"positive regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0001523","GO:0001523",8,"GO:0006629",0.556,35,35,"retinoid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0016101","GO:0016101",8,"GO:0006629",0.582,1,1,"diterpenoid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0045934","GO:0045934",1,"GO:0006357",0.458,0,0,"negative regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031327","GO:0031327",1,"GO:0006357",0.366,2,2,"negative regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0044238","GO:0044238",8,"GO:0006629",0.687,0,0,"primary metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0080090","GO:0080090",1,"GO:0006357",0.309,0,0,"regulation of primary metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031324","GO:0031324",1,"GO:0006357",0.296,0,0,"negative regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0042759","GO:0042759",8,"GO:0006629",0.377,20,20,"long-chain fatty acid biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0010604","GO:0010604",5,"GO:0010628",0.809,0,0,"positive regulation of macromolecule metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0001676","GO:0001676",8,"GO:0006629",0.519,35,35,"long-chain fatty acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0051716","GO:0051716",7,"GO:0009410",0.373,0,0,"cellular response to stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0009893","GO:0009893",1,"GO:0006357",0.21,0,0,"positive regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010468","GO:0010468",5,"GO:0010628",0.779,242,242,"regulation of gene expression","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0042573","GO:0042573",8,"GO:0006629",0.353,25,25,"retinoic acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:1901615","GO:1901615",5,"GO:0010628",0.27,0,0,"organic hydroxy compound metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0006631","GO:0006631",8,"GO:0006629",0.527,94,94,"fatty acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0042572","GO:0042572",8,"GO:0006629",0.359,70,70,"retinol metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0051171","GO:0051171",1,"GO:0006357",0.309,1,1,"regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0030522","GO:0030522",3,"GO:0008284",0.349,35,35,"intracellular receptor signaling pathway","positive regulation of cell population proliferation",TRUE,FALSE,TRUE,TRUE
"GO:1990748","GO:1990748",7,"GO:0009410",0.325,2,2,"cellular detoxification","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0097237","GO:0097237",7,"GO:0009410",0.381,7,7,"cellular response to toxic substance","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0050896","GO:0050896",7,"GO:0009410",0.598,64,64,"response to stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0010033","GO:0010033",7,"GO:0009410",0.605,25,25,"response to organic substance","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0070989","GO:0070989",5,"GO:0010628",0.155,17,17,"oxidative demethylation","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0051172","GO:0051172",1,"GO:0006357",0.241,0,0,"negative regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0098754","GO:0098754",7,"GO:0009410",0.532,0,0,"detoxification","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0006066","GO:0006066",5,"GO:0010628",0.218,7,7,"alcohol metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0044255","GO:0044255",8,"GO:0006629",0.724,22,22,"cellular lipid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0006575","GO:0006575",8,"GO:0006629",0.36,1,1,"cellular modified amino acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0034308","GO:0034308",5,"GO:0010628",0.182,0,0,"primary alcohol metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0033559","GO:0033559",8,"GO:0006629",0.519,1,1,"unsaturated fatty acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0016098","GO:0016098",8,"GO:0006629",0.582,6,6,"monoterpenoid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0019222","GO:0019222",1,"GO:0006357",0.266,21,21,"regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006690","GO:0006690",8,"GO:0006629",0.297,11,11,"icosanoid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0046483","GO:0046483",8,"GO:0006629",0.266,6,6,"heterocycle metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0009892","GO:0009892",1,"GO:0006357",0.21,0,0,"negative regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0048523","GO:0048523",3,"GO:0008284",0.467,0,0,"negative regulation of cellular process","positive regulation of cell population proliferation",TRUE,TRUE,TRUE,TRUE
"GO:0006725","GO:0006725",8,"GO:0006629",0.266,1,1,"cellular aromatic compound metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0071310","GO:0071310",7,"GO:0009410",0.381,16,16,"cellular response to organic substance","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0009636","GO:0009636",7,"GO:0009410",0.605,73,73,"response to toxic substance","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0009719","GO:0009719",7,"GO:0009410",0.428,0,0,"response to endogenous stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0006069","GO:0006069",5,"GO:0010628",0.141,13,13,"ethanol oxidation","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0019373","GO:0019373",8,"GO:0006629",0.431,25,25,"epoxygenase P450 pathway","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0019748","GO:0019748",5,"GO:0010628",0.202,1,1,"secondary metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:1901700","GO:1901700",7,"GO:0009410",0.605,0,0,"response to oxygen-containing compound","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0048522","GO:0048522",3,"GO:0008284",0.758,0,0,"positive regulation of cellular process","positive regulation of cell population proliferation",TRUE,TRUE,TRUE,TRUE
"GO:0060255","GO:0060255",5,"GO:0010628",0.647,0,0,"regulation of macromolecule metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0098869","GO:0098869",7,"GO:0009410",0.309,77,77,"cellular oxidant detoxification","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0009725","GO:0009725",7,"GO:0009410",0.457,41,41,"response to hormone","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0071495","GO:0071495",7,"GO:0009410",0.329,0,0,"cellular response to endogenous stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0010605","GO:0010605",5,"GO:0010628",0.513,0,0,"negative regulation of macromolecule metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0032870","GO:0032870",7,"GO:0009410",0.286,25,25,"cellular response to hormone stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0072330","GO:0072330",8,"GO:0006629",0.211,0,0,"monocarboxylic acid biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0060541","GO:0060541",6,"GO:0007399",0.723,4,4,"respiratory system development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0051239","GO:0051239",4,"GO:0006915",0.119,0,0,"regulation of multicellular organismal process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0048518","GO:0048518",3,"GO:0008284",0.513,0,0,"positive regulation of biological process","positive regulation of cell population proliferation",TRUE,TRUE,TRUE,TRUE
"GO:0019369","GO:0019369",8,"GO:0006629",0.416,53,53,"arachidonic acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0009404","GO:0009404",5,"GO:0010628",0.137,8,8,"toxin metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0043385","GO:0043385",5,"GO:0010628",0.114,0,0,"mycotoxin metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:1901376","GO:1901376",1,"GO:0006357",0.252,0,0,"organic heteropentacyclic compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0046222","GO:0046222",1,"GO:0006357",0.179,5,5,"aflatoxin metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0065008","GO:0065008",9,"GO:0042593",0.517,1,1,"regulation of biological quality","glucose homeostasis",TRUE,TRUE,TRUE,TRUE
"GO:0030855","GO:0030855",2,"GO:0030154",0.67,91,91,"epithelial cell differentiation","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0035295","GO:0035295",6,"GO:0007399",0.632,2,2,"tube development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0051145","GO:0051145",2,"GO:0030154",0.64,20,20,"smooth muscle cell differentiation","cell differentiation",TRUE,FALSE,FALSE,TRUE
"GO:0016070","GO:0016070",8,"GO:0006629",0.369,8,8,"RNA metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0033993","GO:0033993",7,"GO:0009410",0.491,14,14,"response to lipid","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0009820","GO:0009820",5,"GO:0010628",0.203,2,2,"alkaloid metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0006790","GO:0006790",8,"GO:0006629",0.266,22,22,"sulfur compound metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0006067","GO:0006067",5,"GO:0010628",0.156,0,0,"ethanol metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0044283","GO:0044283",5,"GO:0010628",0.144,0,0,"small molecule biosynthetic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0060429","GO:0060429",6,"GO:0007399",0.336,5,5,"epithelium development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0030154","GO:0030154",2,"GO:0030154",1,621,621,"cell differentiation","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0048869","GO:0048869",2,"GO:0030154",0.831,0,0,"cellular developmental process","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0009755","GO:0009755",7,"GO:0009410",0.216,48,48,"hormone-mediated signaling pathway","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:1902652","GO:1902652",5,"GO:0010628",0.182,0,0,"secondary alcohol metabolic process","positive regulation of gene expression",TRUE,TRUE,TRUE,TRUE
"GO:0048732","GO:0048732",6,"GO:0007399",0.638,2,2,"gland development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0048519","GO:0048519",3,"GO:0008284",0.336,0,0,"negative regulation of biological process","positive regulation of cell population proliferation",TRUE,TRUE,TRUE,TRUE
"GO:0065007","GO:0065007",3,"GO:0008284",0.317,0,0,"biological regulation","positive regulation of cell population proliferation",TRUE,TRUE,TRUE,TRUE
"GO:0070988","GO:0070988",5,"GO:0010628",0.202,2,2,"demethylation","positive regulation of gene expression",TRUE,TRUE,TRUE,FALSE
"GO:0006633","GO:0006633",8,"GO:0006629",0.382,58,58,"fatty acid biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0048731","GO:0048731",6,"GO:0007399",0.864,2,2,"system development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0009822","GO:0009822",8,"GO:0006629",0.221,3,3,"alkaloid catabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0046394","GO:0046394",8,"GO:0006629",0.226,0,0,"carboxylic acid biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0016053","GO:0016053",8,"GO:0006629",0.263,0,0,"organic acid biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:2000026","GO:2000026",2,"GO:0030154",0.19,0,0,"regulation of multicellular organismal development","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:1901701","GO:1901701",7,"GO:0009410",0.381,0,0,"cellular response to oxygen-containing compound","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0009888","GO:0009888",6,"GO:0007399",0.425,35,35,"tissue development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0097267","GO:0097267",8,"GO:0006629",0.431,12,12,"omega-hydroxylase P450 pathway","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0072359","GO:0072359",6,"GO:0007399",0.723,10,10,"circulatory system development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0060284","GO:0060284",2,"GO:0030154",0.525,0,0,"regulation of cell development","cell differentiation",TRUE,FALSE,TRUE,TRUE
"GO:0061061","GO:0061061",6,"GO:0007399",0.425,11,11,"muscle structure development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0045596","GO:0045596",2,"GO:0030154",0.518,52,52,"negative regulation of cell differentiation","cell differentiation",TRUE,FALSE,TRUE,TRUE
"GO:0048513","GO:0048513",6,"GO:0007399",0.739,18,18,"animal organ development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0034641","GO:0034641",8,"GO:0006629",0.24,0,0,"cellular nitrogen compound metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0009887","GO:0009887",6,"GO:0007399",0.595,135,135,"animal organ morphogenesis","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:1901685","GO:1901685",8,"GO:0006629",0.325,0,0,"glutathione derivative metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:1901687","GO:1901687",8,"GO:0006629",0.221,4,4,"glutathione derivative biosynthetic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0018916","GO:0018916",8,"GO:0006629",0.324,4,4,"nitrobenzene metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0048598","GO:0048598",6,"GO:0007399",0.498,11,11,"embryonic morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0048568","GO:0048568",6,"GO:0007399",0.595,31,31,"embryonic organ development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0090304","GO:0090304",8,"GO:0006629",0.377,0,0,"nucleic acid metabolic process","lipid metabolic process",TRUE,TRUE,TRUE,TRUE
"GO:0051093","GO:0051093",3,"GO:0008284",0.227,8,8,"negative regulation of developmental process","positive regulation of cell population proliferation",TRUE,FALSE,TRUE,TRUE
"GO:0042127","GO:0042127",3,"GO:0008284",0.771,141,141,"regulation of cell population proliferation","positive regulation of cell population proliferation",TRUE,FALSE,TRUE,TRUE
"GO:0045595","GO:0045595",2,"GO:0030154",0.631,37,37,"regulation of cell differentiation","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0007389","GO:0007389",6,"GO:0007399",0.632,31,31,"pattern specification process","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0001944","GO:0001944",6,"GO:0007399",0.659,15,15,"vasculature development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0009790","GO:0009790",6,"GO:0007399",0.613,17,17,"embryo development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0032502","GO:0032502",6,"GO:0007399",0.43,21,21,"developmental process","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0035239","GO:0035239",6,"GO:0007399",0.498,1,1,"tube morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
