"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_act_list","female_repress_list","male_act_list","male_repress_list"
"GO:0010604","GO:0010604",1,"GO:0006357",0.292,0,0,"positive regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0051173","GO:0051173",1,"GO:0006357",0.241,2,2,"positive regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0000122","GO:0000122",1,"GO:0006357",0.808,1119,1119,"negative regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0019222","GO:0019222",1,"GO:0006357",0.266,21,21,"regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031325","GO:0031325",1,"GO:0006357",0.296,0,0,"positive regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0090304","GO:0090304",1,"GO:0006357",0.445,0,0,"nucleic acid metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009893","GO:0009893",1,"GO:0006357",0.21,0,0,"positive regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0045892","GO:0045892",1,"GO:0006357",0.746,680,680,"negative regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1903507","GO:1903507",1,"GO:0006357",0.641,3,3,"negative regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1902679","GO:1902679",1,"GO:0006357",0.625,2,2,"negative regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006139","GO:0006139",1,"GO:0006357",0.435,32,32,"nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0051253","GO:0051253",1,"GO:0006357",0.502,0,0,"negative regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0046483","GO:0046483",1,"GO:0006357",0.239,6,6,"heterocycle metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006725","GO:0006725",1,"GO:0006357",0.239,1,1,"cellular aromatic compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010558","GO:0010558",1,"GO:0006357",0.39,0,0,"negative regulation of macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:1901360","GO:1901360",4,"GO:0006915",0.11,0,0,"organic cyclic compound metabolic process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0045934","GO:0045934",1,"GO:0006357",0.458,0,0,"negative regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031327","GO:0031327",1,"GO:0006357",0.366,2,2,"negative regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0034641","GO:0034641",1,"GO:0006357",0.277,0,0,"cellular nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009890","GO:0009890",1,"GO:0006357",0.253,2,2,"negative regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010467","GO:0010467",1,"GO:0006357",0.251,83,83,"gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0048522","GO:0048522",2,"GO:0007165",0.507,0,0,"positive regulation of cellular process","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0051172","GO:0051172",1,"GO:0006357",0.241,0,0,"negative regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031324","GO:0031324",1,"GO:0006357",0.296,0,0,"negative regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0048518","GO:0048518",4,"GO:0006915",0.166,0,0,"positive regulation of biological process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0010033","GO:0010033",6,"GO:0009410",0.605,25,25,"response to organic substance","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0050794","GO:0050794",2,"GO:0007165",0.63,0,0,"regulation of cellular process","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0010605","GO:0010605",1,"GO:0006357",0.292,0,0,"negative regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009892","GO:0009892",1,"GO:0006357",0.21,0,0,"negative regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0048523","GO:0048523",2,"GO:0007165",0.507,0,0,"negative regulation of cellular process","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0030522","GO:0030522",2,"GO:0007165",0.915,35,35,"intracellular receptor signaling pathway","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0030154","GO:0030154",3,"GO:0030154",1,621,621,"cell differentiation","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0048869","GO:0048869",3,"GO:0030154",0.831,0,0,"cellular developmental process","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0071310","GO:0071310",6,"GO:0009410",0.381,16,16,"cellular response to organic substance","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0044237","GO:0044237",1,"GO:0006357",0.227,0,0,"cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0006807","GO:0006807",4,"GO:0006915",0.147,7,7,"nitrogen compound metabolic process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0048519","GO:0048519",4,"GO:0006915",0.166,0,0,"negative regulation of biological process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0043170","GO:0043170",1,"GO:0006357",0.216,1,1,"macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009719","GO:0009719",6,"GO:0009410",0.428,0,0,"response to endogenous stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0050789","GO:0050789",4,"GO:0006915",0.182,0,0,"regulation of biological process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0051239","GO:0051239",9,"GO:0007565",0.255,0,0,"regulation of multicellular organismal process","female pregnancy",TRUE,TRUE,TRUE,TRUE
"GO:0044238","GO:0044238",4,"GO:0006915",0.147,0,0,"primary metabolic process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0070887","GO:0070887",6,"GO:0009410",0.49,0,0,"cellular response to chemical stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0071495","GO:0071495",6,"GO:0009410",0.329,0,0,"cellular response to endogenous stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0065007","GO:0065007",4,"GO:0006915",0.21,0,0,"biological regulation","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0042221","GO:0042221",6,"GO:0009410",0.788,0,0,"response to chemical","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0032502","GO:0032502",5,"GO:0007399",0.43,21,21,"developmental process","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0009725","GO:0009725",6,"GO:0009410",0.457,41,41,"response to hormone","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:1901700","GO:1901700",6,"GO:0009410",0.605,0,0,"response to oxygen-containing compound","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0048731","GO:0048731",5,"GO:0007399",0.864,2,2,"system development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:2000026","GO:2000026",5,"GO:0007399",0.473,0,0,"regulation of multicellular organismal development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0032870","GO:0032870",6,"GO:0009410",0.286,25,25,"cellular response to hormone stimulus","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0071704","GO:0071704",4,"GO:0006915",0.147,1,1,"organic substance metabolic process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0035295","GO:0035295",5,"GO:0007399",0.632,2,2,"tube development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0072359","GO:0072359",5,"GO:0007399",0.723,10,10,"circulatory system development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0045595","GO:0045595",3,"GO:0030154",0.631,37,37,"regulation of cell differentiation","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0048856","GO:0048856",5,"GO:0007399",0.563,50,50,"anatomical structure development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0007275","GO:0007275",5,"GO:0007399",0.757,84,84,"multicellular organism development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0050793","GO:0050793",4,"GO:0006915",0.119,7,7,"regulation of developmental process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0008152","GO:0008152",4,"GO:0006915",0.21,8,8,"metabolic process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0060284","GO:0060284",3,"GO:0030154",0.525,0,0,"regulation of cell development","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0048513","GO:0048513",5,"GO:0007399",0.739,18,18,"animal organ development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0042127","GO:0042127",2,"GO:0007165",0.49,141,141,"regulation of cell population proliferation","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0061061","GO:0061061",5,"GO:0007399",0.425,11,11,"muscle structure development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0045596","GO:0045596",3,"GO:0030154",0.518,52,52,"negative regulation of cell differentiation","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0051716","GO:0051716",7,"GO:0001666",0.291,0,0,"cellular response to stimulus","response to hypoxia",TRUE,FALSE,TRUE,TRUE
"GO:0051093","GO:0051093",4,"GO:0006915",0.101,8,8,"negative regulation of developmental process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0008283","GO:0008283",4,"GO:0006915",0.357,152,152,"cell population proliferation","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0009887","GO:0009887",5,"GO:0007399",0.595,135,135,"animal organ morphogenesis","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0009888","GO:0009888",5,"GO:0007399",0.425,35,35,"tissue development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0009755","GO:0009755",6,"GO:0009410",0.216,48,48,"hormone-mediated signaling pathway","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0001944","GO:0001944",5,"GO:0007399",0.659,15,15,"vasculature development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0035239","GO:0035239",5,"GO:0007399",0.498,1,1,"tube morphogenesis","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0009790","GO:0009790",5,"GO:0007399",0.613,17,17,"embryo development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0051145","GO:0051145",3,"GO:0030154",0.64,20,20,"smooth muscle cell differentiation","cell differentiation",TRUE,FALSE,TRUE,TRUE
"GO:0009653","GO:0009653",5,"GO:0007399",0.456,136,136,"anatomical structure morphogenesis","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0033993","GO:0033993",6,"GO:0009410",0.491,14,14,"response to lipid","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:1901701","GO:1901701",6,"GO:0009410",0.381,0,0,"cellular response to oxygen-containing compound","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0007389","GO:0007389",5,"GO:0007399",0.632,31,31,"pattern specification process","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0023052","GO:0023052",4,"GO:0006915",0.21,7,7,"signaling","apoptotic process",TRUE,FALSE,TRUE,TRUE
"GO:0060429","GO:0060429",5,"GO:0007399",0.336,5,5,"epithelium development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0030855","GO:0030855",3,"GO:0030154",0.67,91,91,"epithelial cell differentiation","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0007154","GO:0007154",2,"GO:0007165",0.48,18,18,"cell communication","signal transduction",TRUE,FALSE,TRUE,TRUE
"GO:0007165","GO:0007165",2,"GO:0007165",1,1181,1181,"signal transduction","signal transduction",TRUE,FALSE,TRUE,TRUE
"GO:0048598","GO:0048598",5,"GO:0007399",0.498,11,11,"embryonic morphogenesis","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0048646","GO:0048646",5,"GO:0007399",0.394,7,7,"anatomical structure formation involved in morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0010243","GO:0010243",6,"GO:0009410",0.434,14,14,"response to organonitrogen compound","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0050896","GO:0050896",7,"GO:0001666",0.439,64,64,"response to stimulus","response to hypoxia",TRUE,TRUE,TRUE,TRUE
"GO:0048568","GO:0048568",5,"GO:0007399",0.595,31,31,"embryonic organ development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0060541","GO:0060541",5,"GO:0007399",0.723,4,4,"respiratory system development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0001568","GO:0001568",5,"GO:0007399",0.62,44,44,"blood vessel development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0071396","GO:0071396",6,"GO:0009410",0.315,4,4,"cellular response to lipid","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:1901698","GO:1901698",6,"GO:0009410",0.605,0,0,"response to nitrogen compound","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0003205","GO:0003205",5,"GO:0007399",0.571,2,2,"cardiac chamber development","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0048863","GO:0048863",3,"GO:0030154",0.837,44,44,"stem cell differentiation","cell differentiation",TRUE,FALSE,TRUE,TRUE
"GO:0022008","GO:0022008",5,"GO:0007399",0.713,53,53,"neurogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0003002","GO:0003002",5,"GO:0007399",0.529,0,0,"regionalization","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0030097","GO:0030097",5,"GO:0007399",0.51,64,64,"hemopoiesis","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0048732","GO:0048732",5,"GO:0007399",0.638,2,2,"gland development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0007517","GO:0007517",5,"GO:0007399",0.583,98,98,"muscle organ development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0003206","GO:0003206",5,"GO:0007399",0.436,0,0,"cardiac chamber morphogenesis","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0032501","GO:0032501",9,"GO:0007565",0.405,0,0,"multicellular organismal process","female pregnancy",TRUE,TRUE,TRUE,TRUE
"GO:0048468","GO:0048468",3,"GO:0030154",0.772,26,26,"cell development","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0007399","GO:0007399",5,"GO:0007399",1,376,376,"nervous system development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0045165","GO:0045165",3,"GO:0030154",0.852,56,56,"cell fate commitment","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0043401","GO:0043401",6,"GO:0009410",0.173,22,22,"steroid hormone mediated signaling pathway","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:1901652","GO:1901652",6,"GO:0009410",0.373,2,2,"response to peptide","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0007623","GO:0007623",4,"GO:0006915",0.147,63,63,"circadian rhythm","apoptotic process",TRUE,FALSE,TRUE,TRUE
"GO:0048514","GO:0048514",5,"GO:0007399",0.469,19,19,"blood vessel morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0048562","GO:0048562",5,"GO:0007399",0.445,4,4,"embryonic organ morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0009952","GO:0009952",5,"GO:0007399",0.454,92,92,"anterior/posterior pattern specification","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0060537","GO:0060537",5,"GO:0007399",0.336,5,5,"muscle tissue development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:1903706","GO:1903706",5,"GO:0007399",0.383,11,11,"regulation of hemopoiesis","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0031669","GO:0031669",7,"GO:0001666",0.146,28,28,"cellular response to nutrient levels","response to hypoxia",TRUE,FALSE,TRUE,TRUE
"GO:0009299","GO:0009299",1,"GO:0006357",0.608,5,5,"mRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0034097","GO:0034097",6,"GO:0009410",0.491,46,46,"response to cytokine","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0014070","GO:0014070",6,"GO:0009410",0.491,52,52,"response to organic cyclic compound","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0048592","GO:0048592",5,"GO:0007399",0.391,4,4,"eye morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0051241","GO:0051241",9,"GO:0007565",0.225,0,0,"negative regulation of multicellular organismal process","female pregnancy",TRUE,TRUE,TRUE,TRUE
"GO:0060562","GO:0060562",5,"GO:0007399",0.348,1,1,"epithelial tube morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0050673","GO:0050673",4,"GO:0006915",0.267,49,49,"epithelial cell proliferation","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0003279","GO:0003279",5,"GO:0007399",0.546,9,9,"cardiac septum development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0035904","GO:0035904",5,"GO:0007399",0.507,24,24,"aorta development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0003007","GO:0003007",5,"GO:0007399",0.468,43,43,"heart morphogenesis","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:1902893","GO:1902893",1,"GO:0006357",0.925,1,1,"regulation of miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0031668","GO:0031668",7,"GO:0001666",0.172,18,18,"cellular response to extracellular stimulus","response to hypoxia",TRUE,TRUE,FALSE,TRUE
"GO:0008285","GO:0008285",2,"GO:0007165",0.392,453,453,"negative regulation of cell population proliferation","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0061614","GO:0061614",1,"GO:0006357",0.619,1,1,"miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0007507","GO:0007507",5,"GO:0007399",0.583,216,216,"heart development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0007166","GO:0007166",2,"GO:0007165",0.915,303,303,"cell surface receptor signaling pathway","signal transduction",TRUE,FALSE,TRUE,TRUE
"GO:0010628","GO:0010628",1,"GO:0006357",0.34,549,549,"positive regulation of gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0023061","GO:0023061",11,"GO:0050796",0.383,2,2,"signal release","regulation of insulin secretion",TRUE,FALSE,FALSE,FALSE
"GO:0003170","GO:0003170",5,"GO:0007399",0.571,7,7,"heart valve development","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0030073","GO:0030073",11,"GO:0050796",0.712,40,40,"insulin secretion","regulation of insulin secretion",TRUE,FALSE,TRUE,TRUE
"GO:0031667","GO:0031667",7,"GO:0001666",0.207,45,45,"response to nutrient levels","response to hypoxia",TRUE,TRUE,TRUE,TRUE
"GO:0030324","GO:0030324",5,"GO:0007399",0.509,83,83,"lung development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0030323","GO:0030323",5,"GO:0007399",0.595,4,4,"respiratory tube development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0051150","GO:0051150",3,"GO:0030154",0.457,5,5,"regulation of smooth muscle cell differentiation","cell differentiation",TRUE,FALSE,TRUE,FALSE
"GO:0023051","GO:0023051",4,"GO:0006915",0.119,2,2,"regulation of signaling","apoptotic process",TRUE,FALSE,TRUE,TRUE
"GO:0009749","GO:0009749",6,"GO:0009410",0.321,65,65,"response to glucose","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0010646","GO:0010646",2,"GO:0007165",0.625,0,0,"regulation of cell communication","signal transduction",TRUE,FALSE,TRUE,TRUE
"GO:0045586","GO:0045586",10,"GO:0042110",0.32,2,2,"regulation of gamma-delta T cell differentiation","T cell activation",TRUE,FALSE,FALSE,FALSE
"GO:0090596","GO:0090596",5,"GO:0007399",0.494,0,0,"sensory organ morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0003231","GO:0003231",5,"GO:0007399",0.52,7,7,"cardiac ventricle development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0060411","GO:0060411",5,"GO:0007399",0.408,13,13,"cardiac septum morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
