"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_drugs","male_drugs"
"GO:0009889","GO:0009889",1,"GO:0006357",0.321,0,0,"regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1901362","GO:1901362",1,"GO:0006357",0.303,0,0,"organic cyclic compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0045893","GO:0045893",1,"GO:0006357",0.784,840,840,"positive regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1903508","GO:1903508",1,"GO:0006357",0.641,1,1,"positive regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1902680","GO:1902680",1,"GO:0006357",0.625,2,2,"positive regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051254","GO:0051254",1,"GO:0006357",0.502,0,0,"positive regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010557","GO:0010557",1,"GO:0006357",0.39,1,1,"positive regulation of macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009059","GO:0009059",1,"GO:0006357",0.32,0,0,"macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0044271","GO:0044271",1,"GO:0006357",0.352,0,0,"cellular nitrogen compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031328","GO:0031328",1,"GO:0006357",0.366,3,3,"positive regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0045935","GO:0045935",1,"GO:0006357",0.458,0,0,"positive regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009891","GO:0009891",1,"GO:0006357",0.253,0,0,"positive regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010468","GO:0010468",1,"GO:0006357",0.422,242,242,"regulation of gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031323","GO:0031323",1,"GO:0006357",0.383,0,0,"regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051171","GO:0051171",1,"GO:0006357",0.309,1,1,"regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0044249","GO:0044249",1,"GO:0006357",0.292,0,0,"cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1901576","GO:1901576",1,"GO:0006357",0.257,0,0,"organic substance biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0080090","GO:0080090",1,"GO:0006357",0.309,0,0,"regulation of primary metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009058","GO:0009058",1,"GO:0006357",0.181,15,15,"biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0060255","GO:0060255",1,"GO:0006357",0.361,0,0,"regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031325","GO:0031325",1,"GO:0006357",0.296,0,0,"positive regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0016070","GO:0016070",1,"GO:0006357",0.422,8,8,"RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051173","GO:0051173",1,"GO:0006357",0.241,2,2,"positive regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0045892","GO:0045892",1,"GO:0006357",0.746,680,680,"negative regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1903507","GO:1903507",1,"GO:0006357",0.641,3,3,"negative regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1902679","GO:1902679",1,"GO:0006357",0.625,2,2,"negative regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010604","GO:0010604",1,"GO:0006357",0.292,0,0,"positive regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051253","GO:0051253",1,"GO:0006357",0.502,0,0,"negative regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0019222","GO:0019222",1,"GO:0006357",0.266,21,21,"regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0045934","GO:0045934",1,"GO:0006357",0.458,0,0,"negative regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0090304","GO:0090304",1,"GO:0006357",0.445,0,0,"nucleic acid metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0000122","GO:0000122",1,"GO:0006357",0.808,1119,1119,"negative regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010558","GO:0010558",1,"GO:0006357",0.39,0,0,"negative regulation of macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009893","GO:0009893",1,"GO:0006357",0.21,0,0,"positive regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031327","GO:0031327",1,"GO:0006357",0.366,2,2,"negative regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009890","GO:0009890",1,"GO:0006357",0.253,2,2,"negative regulation of biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0006139","GO:0006139",1,"GO:0006357",0.435,32,32,"nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0046483","GO:0046483",1,"GO:0006357",0.239,6,6,"heterocycle metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0006725","GO:0006725",1,"GO:0006357",0.239,1,1,"cellular aromatic compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1901360","GO:1901360",1,"GO:0006357",0.206,0,0,"organic cyclic compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0034641","GO:0034641",1,"GO:0006357",0.277,0,0,"cellular nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010467","GO:0010467",1,"GO:0006357",0.251,83,83,"gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031324","GO:0031324",1,"GO:0006357",0.296,0,0,"negative regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051172","GO:0051172",1,"GO:0006357",0.241,0,0,"negative regulation of nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0048522","GO:0048522",2,"GO:0007165",0.507,0,0,"positive regulation of cellular process","signal transduction",TRUE,TRUE
"GO:0048518","GO:0048518",2,"GO:0007165",0.349,0,0,"positive regulation of biological process","signal transduction",TRUE,TRUE
"GO:0010605","GO:0010605",1,"GO:0006357",0.292,0,0,"negative regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0050794","GO:0050794",2,"GO:0007165",0.63,0,0,"regulation of cellular process","signal transduction",TRUE,TRUE
"GO:0009892","GO:0009892",1,"GO:0006357",0.21,0,0,"negative regulation of metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0048523","GO:0048523",2,"GO:0007165",0.507,0,0,"negative regulation of cellular process","signal transduction",TRUE,TRUE
"GO:0030154","GO:0030154",3,"GO:0030154",1,621,621,"cell differentiation","cell differentiation",TRUE,TRUE
"GO:0044237","GO:0044237",1,"GO:0006357",0.227,0,0,"cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0048869","GO:0048869",3,"GO:0030154",0.831,0,0,"cellular developmental process","cell differentiation",TRUE,TRUE
"GO:0006807","GO:0006807",1,"GO:0006357",0.175,7,7,"nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0043170","GO:0043170",1,"GO:0006357",0.216,1,1,"macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0050789","GO:0050789",2,"GO:0007165",0.427,0,0,"regulation of biological process","signal transduction",TRUE,TRUE
"GO:0044238","GO:0044238",1,"GO:0006357",0.175,0,0,"primary metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0048513","GO:0048513",5,"GO:0007399",0.739,18,18,"animal organ development","nervous system development",TRUE,TRUE
"GO:0048856","GO:0048856",3,"GO:0030154",0.388,50,50,"anatomical structure development","cell differentiation",TRUE,TRUE
"GO:0065007","GO:0065007",2,"GO:0007165",0.316,0,0,"biological regulation","signal transduction",TRUE,TRUE
"GO:0048519","GO:0048519",2,"GO:0007165",0.349,0,0,"negative regulation of biological process","signal transduction",TRUE,TRUE
"GO:0045165","GO:0045165",3,"GO:0030154",0.852,56,56,"cell fate commitment","cell differentiation",TRUE,TRUE
"GO:0032502","GO:0032502",3,"GO:0030154",0.536,21,21,"developmental process","cell differentiation",TRUE,TRUE
"GO:0048731","GO:0048731",5,"GO:0007399",0.864,2,2,"system development","nervous system development",TRUE,TRUE
"GO:0007275","GO:0007275",5,"GO:0007399",0.757,84,84,"multicellular organism development","nervous system development",TRUE,TRUE
"GO:0071704","GO:0071704",1,"GO:0006357",0.181,1,1,"organic substance metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009888","GO:0009888",3,"GO:0030154",0.3,35,35,"tissue development","cell differentiation",TRUE,TRUE
"GO:0008283","GO:0008283",4,"GO:0006915",0.357,152,152,"cell population proliferation","apoptotic process",TRUE,TRUE
"GO:0042127","GO:0042127",2,"GO:0007165",0.49,141,141,"regulation of cell population proliferation","signal transduction",TRUE,TRUE
"GO:0045595","GO:0045595",3,"GO:0030154",0.631,37,37,"regulation of cell differentiation","cell differentiation",TRUE,TRUE
"GO:0008152","GO:0008152",1,"GO:0006357",0.141,8,8,"metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0050793","GO:0050793",7,"GO:0030097",0.209,7,7,"regulation of developmental process","hemopoiesis",TRUE,TRUE
"GO:0048568","GO:0048568",5,"GO:0007399",0.595,31,31,"embryonic organ development","nervous system development",TRUE,TRUE
"GO:0032501","GO:0032501",5,"GO:0007399",0.43,0,0,"multicellular organismal process","nervous system development",TRUE,TRUE
"GO:0009653","GO:0009653",3,"GO:0030154",0.342,136,136,"anatomical structure morphogenesis","cell differentiation",TRUE,TRUE
"GO:0060429","GO:0060429",3,"GO:0030154",0.244,5,5,"epithelium development","cell differentiation",TRUE,TRUE
"GO:0009887","GO:0009887",5,"GO:0007399",0.595,135,135,"animal organ morphogenesis","nervous system development",TRUE,TRUE
"GO:2000026","GO:2000026",7,"GO:0030097",0.362,0,0,"regulation of multicellular organismal development","hemopoiesis",TRUE,TRUE
"GO:0048646","GO:0048646",3,"GO:0030154",0.316,7,7,"anatomical structure formation involved in morphogenesis","cell differentiation",TRUE,TRUE
"GO:0051239","GO:0051239",2,"GO:0007165",0.31,0,0,"regulation of multicellular organismal process","signal transduction",TRUE,TRUE
"GO:0009790","GO:0009790",5,"GO:0007399",0.613,17,17,"embryo development","nervous system development",TRUE,TRUE
"GO:0009719","GO:0009719",8,"GO:0050896",0.743,0,0,"response to endogenous stimulus","response to stimulus",TRUE,TRUE
"GO:0071310","GO:0071310",8,"GO:0050896",0.38,16,16,"cellular response to organic substance","response to stimulus",TRUE,TRUE
"GO:0048562","GO:0048562",5,"GO:0007399",0.445,4,4,"embryonic organ morphogenesis","nervous system development",TRUE,TRUE
"GO:0048598","GO:0048598",5,"GO:0007399",0.498,11,11,"embryonic morphogenesis","nervous system development",TRUE,TRUE
"GO:0030855","GO:0030855",3,"GO:0030154",0.67,91,91,"epithelial cell differentiation","cell differentiation",TRUE,TRUE
"GO:0008285","GO:0008285",2,"GO:0007165",0.392,453,453,"negative regulation of cell population proliferation","signal transduction",TRUE,TRUE
"GO:0030522","GO:0030522",2,"GO:0007165",0.915,35,35,"intracellular receptor signaling pathway","signal transduction",TRUE,TRUE
"GO:0071495","GO:0071495",8,"GO:0050896",0.598,0,0,"cellular response to endogenous stimulus","response to stimulus",TRUE,TRUE
"GO:0042693","GO:0042693",3,"GO:0030154",0.604,6,6,"muscle cell fate commitment","cell differentiation",TRUE,FALSE
"GO:0010628","GO:0010628",1,"GO:0006357",0.34,549,549,"positive regulation of gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0048468","GO:0048468",3,"GO:0030154",0.772,26,26,"cell development","cell differentiation",TRUE,TRUE
"GO:0035295","GO:0035295",5,"GO:0007399",0.632,2,2,"tube development","nervous system development",TRUE,TRUE
"GO:0070887","GO:0070887",8,"GO:0050896",0.467,0,0,"cellular response to chemical stimulus","response to stimulus",TRUE,TRUE
"GO:0072359","GO:0072359",5,"GO:0007399",0.723,10,10,"circulatory system development","nervous system development",TRUE,TRUE
"GO:0051093","GO:0051093",7,"GO:0030097",0.185,8,8,"negative regulation of developmental process","hemopoiesis",TRUE,TRUE
"GO:0045596","GO:0045596",3,"GO:0030154",0.518,52,52,"negative regulation of cell differentiation","cell differentiation",TRUE,TRUE
"GO:0035239","GO:0035239",5,"GO:0007399",0.498,1,1,"tube morphogenesis","nervous system development",TRUE,TRUE
"GO:0051094","GO:0051094",7,"GO:0030097",0.185,2,2,"positive regulation of developmental process","hemopoiesis",TRUE,TRUE
"GO:0048729","GO:0048729",5,"GO:0007399",0.327,3,3,"tissue morphogenesis","nervous system development",TRUE,TRUE
"GO:0045597","GO:0045597",3,"GO:0030154",0.518,55,55,"positive regulation of cell differentiation","cell differentiation",TRUE,TRUE
"GO:0061061","GO:0061061",3,"GO:0030154",0.3,11,11,"muscle structure development","cell differentiation",TRUE,TRUE
"GO:0007368","GO:0007368",5,"GO:0007399",0.402,65,65,"determination of left/right symmetry","nervous system development",TRUE,TRUE
"GO:0061448","GO:0061448",3,"GO:0030154",0.244,2,2,"connective tissue development","cell differentiation",TRUE,TRUE
"GO:0010033","GO:0010033",8,"GO:0050896",0.598,25,25,"response to organic substance","response to stimulus",TRUE,TRUE
"GO:0007399","GO:0007399",5,"GO:0007399",1,376,376,"nervous system development","nervous system development",TRUE,TRUE
"GO:0001501","GO:0001501",5,"GO:0007399",0.723,132,132,"skeletal system development","nervous system development",TRUE,TRUE
"GO:0009855","GO:0009855",5,"GO:0007399",0.454,1,1,"determination of bilateral symmetry","nervous system development",TRUE,TRUE
"GO:0009799","GO:0009799",5,"GO:0007399",0.529,0,0,"specification of symmetry","nervous system development",TRUE,TRUE
"GO:0007389","GO:0007389",5,"GO:0007399",0.632,31,31,"pattern specification process","nervous system development",TRUE,TRUE
"GO:0048732","GO:0048732",5,"GO:0007399",0.638,2,2,"gland development","nervous system development",TRUE,TRUE
"GO:1901700","GO:1901700",8,"GO:0050896",0.598,0,0,"response to oxygen-containing compound","response to stimulus",TRUE,TRUE
"GO:0007423","GO:0007423",5,"GO:0007399",0.638,6,6,"sensory organ development","nervous system development",TRUE,TRUE
"GO:0051240","GO:0051240",2,"GO:0007165",0.246,0,0,"positive regulation of multicellular organismal process","signal transduction",TRUE,TRUE
"GO:0001944","GO:0001944",5,"GO:0007399",0.659,15,15,"vasculature development","nervous system development",TRUE,TRUE
"GO:0001655","GO:0001655",5,"GO:0007399",0.723,15,15,"urogenital system development","nervous system development",TRUE,TRUE
"GO:0007507","GO:0007507",5,"GO:0007399",0.583,216,216,"heart development","nervous system development",TRUE,TRUE
"GO:0048863","GO:0048863",3,"GO:0030154",0.837,44,44,"stem cell differentiation","cell differentiation",TRUE,TRUE
"GO:0043009","GO:0043009",5,"GO:0007399",0.441,5,5,"chordate embryonic development","nervous system development",TRUE,TRUE
"GO:0042221","GO:0042221",8,"GO:0050896",0.743,0,0,"response to chemical","response to stimulus",TRUE,TRUE
"GO:0045445","GO:0045445",3,"GO:0030154",0.701,21,21,"myoblast differentiation","cell differentiation",TRUE,FALSE
"GO:0002009","GO:0002009",5,"GO:0007399",0.253,21,21,"morphogenesis of an epithelium","nervous system development",TRUE,TRUE
"GO:0009792","GO:0009792",5,"GO:0007399",0.512,23,23,"embryo development ending in birth or egg hatching","nervous system development",TRUE,TRUE
"GO:0001568","GO:0001568",5,"GO:0007399",0.62,44,44,"blood vessel development","nervous system development",TRUE,FALSE
"GO:0031016","GO:0031016",5,"GO:0007399",0.638,25,25,"pancreas development","nervous system development",TRUE,TRUE
"GO:0002064","GO:0002064",3,"GO:0030154",0.57,12,12,"epithelial cell development","cell differentiation",TRUE,TRUE
"GO:0060537","GO:0060537",3,"GO:0030154",0.244,5,5,"muscle tissue development","cell differentiation",TRUE,TRUE
"GO:0033993","GO:0033993",8,"GO:0050896",0.51,14,14,"response to lipid","response to stimulus",TRUE,TRUE
"GO:0002520","GO:0002520",7,"GO:0030097",0.761,4,4,"immune system development","hemopoiesis",TRUE,TRUE
"GO:0090596","GO:0090596",5,"GO:0007399",0.494,0,0,"sensory organ morphogenesis","nervous system development",TRUE,TRUE
"GO:0071407","GO:0071407",8,"GO:0050896",0.329,42,42,"cellular response to organic cyclic compound","response to stimulus",TRUE,TRUE
"GO:0048705","GO:0048705",5,"GO:0007399",0.513,32,32,"skeletal system morphogenesis","nervous system development",TRUE,TRUE
"GO:1902893","GO:1902893",1,"GO:0006357",0.925,1,1,"regulation of miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0007498","GO:0007498",3,"GO:0030154",0.244,30,30,"mesoderm development","cell differentiation",TRUE,FALSE
"GO:0061614","GO:0061614",1,"GO:0006357",0.619,1,1,"miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051147","GO:0051147",3,"GO:0030154",0.499,8,8,"regulation of muscle cell differentiation","cell differentiation",TRUE,FALSE
"GO:0032870","GO:0032870",8,"GO:0050896",0.293,25,25,"cellular response to hormone stimulus","response to stimulus",TRUE,TRUE
"GO:0071396","GO:0071396",8,"GO:0050896",0.329,4,4,"cellular response to lipid","response to stimulus",TRUE,TRUE
"GO:0060485","GO:0060485",5,"GO:0007399",0.583,4,4,"mesenchyme development","nervous system development",TRUE,TRUE
"GO:0007417","GO:0007417",5,"GO:0007399",0.874,149,149,"central nervous system development","nervous system development",TRUE,TRUE
"GO:0048534","GO:0048534",7,"GO:0030097",0.897,0,0,"hematopoietic or lymphoid organ development","hemopoiesis",TRUE,TRUE
"GO:0030324","GO:0030324",5,"GO:0007399",0.509,83,83,"lung development","nervous system development",TRUE,FALSE
"GO:0050673","GO:0050673",4,"GO:0006915",0.267,49,49,"epithelial cell proliferation","apoptotic process",TRUE,TRUE
"GO:0030323","GO:0030323",5,"GO:0007399",0.595,4,4,"respiratory tube development","nervous system development",TRUE,FALSE
"GO:0042692","GO:0042692",3,"GO:0030154",0.701,19,19,"muscle cell differentiation","cell differentiation",TRUE,TRUE
"GO:0072001","GO:0072001",5,"GO:0007399",0.659,0,0,"renal system development","nervous system development",TRUE,TRUE
"GO:2000628","GO:2000628",1,"GO:0006357",0.516,3,3,"regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051216","GO:0051216",5,"GO:0007399",0.509,57,57,"cartilage development","nervous system development",TRUE,FALSE
"GO:0014070","GO:0014070",8,"GO:0050896",0.51,52,52,"response to organic cyclic compound","response to stimulus",TRUE,TRUE
"GO:1904888","GO:1904888",3,"GO:0030154",0.3,15,15,"cranial skeletal system development","cell differentiation",TRUE,FALSE
"GO:0048332","GO:0048332",5,"GO:0007399",0.253,2,2,"mesoderm morphogenesis","nervous system development",TRUE,FALSE
"GO:0071383","GO:0071383",8,"GO:0050896",0.21,16,16,"cellular response to steroid hormone stimulus","response to stimulus",TRUE,TRUE
"GO:0060541","GO:0060541",5,"GO:0007399",0.723,4,4,"respiratory system development","nervous system development",TRUE,FALSE
"GO:1903706","GO:1903706",7,"GO:0030097",0.683,11,11,"regulation of hemopoiesis","hemopoiesis",TRUE,FALSE
"GO:0060562","GO:0060562",5,"GO:0007399",0.348,1,1,"epithelial tube morphogenesis","nervous system development",TRUE,TRUE
"GO:0048701","GO:0048701",5,"GO:0007399",0.358,32,32,"embryonic cranial skeleton morphogenesis","nervous system development",TRUE,FALSE
"GO:0045661","GO:0045661",3,"GO:0030154",0.499,8,8,"regulation of myoblast differentiation","cell differentiation",TRUE,FALSE
"GO:1902895","GO:1902895",1,"GO:0006357",0.783,56,56,"positive regulation of miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0007517","GO:0007517",5,"GO:0007399",0.583,98,98,"muscle organ development","nervous system development",TRUE,TRUE
"GO:0009725","GO:0009725",8,"GO:0050896",0.467,41,41,"response to hormone","response to stimulus",TRUE,TRUE
"GO:0003205","GO:0003205",5,"GO:0007399",0.571,2,2,"cardiac chamber development","nervous system development",TRUE,FALSE
"GO:0006915","GO:0006915",4,"GO:0006915",1,580,580,"apoptotic process","apoptotic process",TRUE,TRUE
"GO:1901701","GO:1901701",8,"GO:0050896",0.38,0,0,"cellular response to oxygen-containing compound","response to stimulus",TRUE,FALSE
"GO:0003206","GO:0003206",5,"GO:0007399",0.436,0,0,"cardiac chamber morphogenesis","nervous system development",TRUE,FALSE
"GO:0035050","GO:0035050",5,"GO:0007399",0.418,20,20,"embryonic heart tube development","nervous system development",TRUE,TRUE
"GO:0003002","GO:0003002",5,"GO:0007399",0.529,0,0,"regionalization","nervous system development",TRUE,TRUE
"GO:0030217","GO:0030217",7,"GO:0030097",0.553,42,42,"T cell differentiation","hemopoiesis",TRUE,FALSE
"GO:2000630","GO:2000630",1,"GO:0006357",0.415,3,3,"positive regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0014706","GO:0014706",3,"GO:0030154",0.208,5,5,"striated muscle tissue development","cell differentiation",TRUE,FALSE
"GO:0010586","GO:0010586",1,"GO:0006357",0.279,13,13,"miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0042471","GO:0042471",5,"GO:0007399",0.355,4,4,"ear morphogenesis","nervous system development",TRUE,FALSE
"GO:0048706","GO:0048706",5,"GO:0007399",0.511,32,32,"embryonic skeletal system development","nervous system development",TRUE,FALSE
"GO:0012501","GO:0012501",4,"GO:0006915",0.812,11,11,"programmed cell death","apoptotic process",TRUE,FALSE
"GO:0048514","GO:0048514",5,"GO:0007399",0.469,19,19,"blood vessel morphogenesis","nervous system development",TRUE,FALSE
"GO:0098727","GO:0098727",3,"GO:0030154",0.388,1,1,"maintenance of cell number","cell differentiation",TRUE,FALSE
"GO:0072132","GO:0072132",5,"GO:0007399",0.435,0,0,"mesenchyme morphogenesis","nervous system development",TRUE,FALSE
"GO:0001822","GO:0001822",5,"GO:0007399",0.55,122,122,"kidney development","nervous system development",TRUE,TRUE
"GO:0030097","GO:0030097",7,"GO:0030097",1,64,64,"hemopoiesis","hemopoiesis",TRUE,FALSE
"GO:0007369","GO:0007369",5,"GO:0007399",0.438,25,25,"gastrulation","nervous system development",TRUE,TRUE
"GO:0048704","GO:0048704",5,"GO:0007399",0.336,42,42,"embryonic skeletal system morphogenesis","nervous system development",TRUE,FALSE
"GO:0051716","GO:0051716",8,"GO:0050896",0.63,0,0,"cellular response to stimulus","response to stimulus",TRUE,TRUE
"GO:0003007","GO:0003007",5,"GO:0007399",0.468,43,43,"heart morphogenesis","nervous system development",TRUE,TRUE
"GO:0055123","GO:0055123",5,"GO:0007399",0.723,5,5,"digestive system development","nervous system development",TRUE,TRUE
"GO:0051145","GO:0051145",3,"GO:0030154",0.64,20,20,"smooth muscle cell differentiation","cell differentiation",TRUE,TRUE
"GO:0003207","GO:0003207",5,"GO:0007399",0.407,3,3,"cardiac chamber formation","nervous system development",TRUE,FALSE
"GO:0001763","GO:0001763",5,"GO:0007399",0.48,9,9,"morphogenesis of a branching structure","nervous system development",TRUE,TRUE
"GO:0003006","GO:0003006",9,"GO:0007548",0.852,5,5,"developmental process involved in reproduction","sex differentiation",TRUE,TRUE
"GO:0001947","GO:0001947",5,"GO:0007399",0.254,65,65,"heart looping","nervous system development",TRUE,FALSE
"GO:0014855","GO:0014855",4,"GO:0006915",0.21,0,0,"striated muscle cell proliferation","apoptotic process",TRUE,FALSE
"GO:0030098","GO:0030098",7,"GO:0030097",0.594,5,5,"lymphocyte differentiation","hemopoiesis",TRUE,FALSE
"GO:0031053","GO:0031053",1,"GO:0006357",0.301,17,17,"primary miRNA processing","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0008219","GO:0008219",4,"GO:0006915",0.657,35,35,"cell death","apoptotic process",TRUE,FALSE
"GO:0048738","GO:0048738",5,"GO:0007399",0.441,18,18,"cardiac muscle tissue development","nervous system development",TRUE,FALSE
"GO:0061371","GO:0061371",5,"GO:0007399",0.43,6,6,"determination of heart left/right asymmetry","nervous system development",TRUE,FALSE
"GO:0003143","GO:0003143",5,"GO:0007399",0.279,9,9,"embryonic heart tube morphogenesis","nervous system development",TRUE,FALSE
"GO:0048844","GO:0048844",5,"GO:0007399",0.415,24,24,"artery morphogenesis","nervous system development",TRUE,FALSE
