"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_drugs","male_drugs"
"GO:0031326","GO:0031326",1,"GO:0006357",0.478,0,0,"regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0018130","GO:0018130",1,"GO:0006357",0.329,0,0,"heterocycle biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0019438","GO:0019438",1,"GO:0006357",0.329,1,1,"aromatic compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009889","GO:0009889",5,"GO:0048511",0.181,0,0,"regulation of biosynthetic process","rhythmic process",TRUE,TRUE
"GO:0051254","GO:0051254",1,"GO:0006357",0.502,0,0,"positive regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1901362","GO:1901362",1,"GO:0006357",0.303,0,0,"organic cyclic compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010557","GO:0010557",1,"GO:0006357",0.39,1,1,"positive regulation of macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031328","GO:0031328",1,"GO:0006357",0.366,3,3,"positive regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0045935","GO:0045935",1,"GO:0006357",0.458,0,0,"positive regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009891","GO:0009891",5,"GO:0048511",0.145,0,0,"positive regulation of biosynthetic process","rhythmic process",TRUE,TRUE
"GO:0009059","GO:0009059",1,"GO:0006357",0.32,0,0,"macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0044271","GO:0044271",1,"GO:0006357",0.352,0,0,"cellular nitrogen compound biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010468","GO:0010468",1,"GO:0006357",0.422,242,242,"regulation of gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031323","GO:0031323",1,"GO:0006357",0.383,0,0,"regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051171","GO:0051171",5,"GO:0048511",0.181,1,1,"regulation of nitrogen compound metabolic process","rhythmic process",TRUE,TRUE
"GO:0044249","GO:0044249",1,"GO:0006357",0.292,0,0,"cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0080090","GO:0080090",5,"GO:0048511",0.181,0,0,"regulation of primary metabolic process","rhythmic process",TRUE,TRUE
"GO:1901576","GO:1901576",1,"GO:0006357",0.257,0,0,"organic substance biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009058","GO:0009058",5,"GO:0048511",0.306,15,15,"biosynthetic process","rhythmic process",TRUE,TRUE
"GO:0045892","GO:0045892",1,"GO:0006357",0.746,680,680,"negative regulation of DNA-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1903507","GO:1903507",1,"GO:0006357",0.641,3,3,"negative regulation of nucleic acid-templated transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1902679","GO:1902679",1,"GO:0006357",0.625,2,2,"negative regulation of RNA biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031325","GO:0031325",1,"GO:0006357",0.296,0,0,"positive regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051253","GO:0051253",1,"GO:0006357",0.502,0,0,"negative regulation of RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051173","GO:0051173",5,"GO:0048511",0.145,2,2,"positive regulation of nitrogen compound metabolic process","rhythmic process",TRUE,TRUE
"GO:0000122","GO:0000122",1,"GO:0006357",0.808,1119,1119,"negative regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0060255","GO:0060255",1,"GO:0006357",0.361,0,0,"regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010558","GO:0010558",1,"GO:0006357",0.39,0,0,"negative regulation of macromolecule biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0045934","GO:0045934",1,"GO:0006357",0.458,0,0,"negative regulation of nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0016070","GO:0016070",1,"GO:0006357",0.422,8,8,"RNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010604","GO:0010604",1,"GO:0006357",0.292,0,0,"positive regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0031327","GO:0031327",1,"GO:0006357",0.366,2,2,"negative regulation of cellular biosynthetic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009890","GO:0009890",5,"GO:0048511",0.145,2,2,"negative regulation of biosynthetic process","rhythmic process",TRUE,TRUE
"GO:0019222","GO:0019222",5,"GO:0048511",0.234,21,21,"regulation of metabolic process","rhythmic process",TRUE,TRUE
"GO:0009893","GO:0009893",5,"GO:0048511",0.194,0,0,"positive regulation of metabolic process","rhythmic process",TRUE,TRUE
"GO:0090304","GO:0090304",1,"GO:0006357",0.445,0,0,"nucleic acid metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0006139","GO:0006139",1,"GO:0006357",0.435,32,32,"nucleobase-containing compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0046483","GO:0046483",1,"GO:0006357",0.239,6,6,"heterocycle metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0006725","GO:0006725",1,"GO:0006357",0.239,1,1,"cellular aromatic compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1901360","GO:1901360",5,"GO:0048511",0.246,0,0,"organic cyclic compound metabolic process","rhythmic process",TRUE,TRUE
"GO:0051172","GO:0051172",5,"GO:0048511",0.145,0,0,"negative regulation of nitrogen compound metabolic process","rhythmic process",TRUE,TRUE
"GO:0031324","GO:0031324",1,"GO:0006357",0.296,0,0,"negative regulation of cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0034641","GO:0034641",1,"GO:0006357",0.277,0,0,"cellular nitrogen compound metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010467","GO:0010467",1,"GO:0006357",0.251,83,83,"gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0048522","GO:0048522",2,"GO:0007165",0.507,0,0,"positive regulation of cellular process","signal transduction",TRUE,TRUE
"GO:0010605","GO:0010605",1,"GO:0006357",0.292,0,0,"negative regulation of macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009892","GO:0009892",5,"GO:0048511",0.194,0,0,"negative regulation of metabolic process","rhythmic process",TRUE,TRUE
"GO:0048518","GO:0048518",5,"GO:0048511",0.305,0,0,"positive regulation of biological process","rhythmic process",TRUE,TRUE
"GO:0048523","GO:0048523",2,"GO:0007165",0.507,0,0,"negative regulation of cellular process","signal transduction",TRUE,TRUE
"GO:0050794","GO:0050794",2,"GO:0007165",0.63,0,0,"regulation of cellular process","signal transduction",TRUE,TRUE
"GO:0048519","GO:0048519",5,"GO:0048511",0.305,0,0,"negative regulation of biological process","rhythmic process",TRUE,TRUE
"GO:0044237","GO:0044237",1,"GO:0006357",0.227,0,0,"cellular metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0006807","GO:0006807",5,"GO:0048511",0.306,7,7,"nitrogen compound metabolic process","rhythmic process",TRUE,TRUE
"GO:0043170","GO:0043170",1,"GO:0006357",0.216,1,1,"macromolecule metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0050789","GO:0050789",5,"GO:0048511",0.341,0,0,"regulation of biological process","rhythmic process",TRUE,TRUE
"GO:0044238","GO:0044238",5,"GO:0048511",0.306,0,0,"primary metabolic process","rhythmic process",TRUE,TRUE
"GO:0030154","GO:0030154",2,"GO:0007165",0.217,621,621,"cell differentiation","signal transduction",TRUE,TRUE
"GO:0048869","GO:0048869",2,"GO:0007165",0.259,0,0,"cellular developmental process","signal transduction",TRUE,TRUE
"GO:0065007","GO:0065007",5,"GO:0048511",0.412,0,0,"biological regulation","rhythmic process",TRUE,TRUE
"GO:0048513","GO:0048513",4,"GO:0007399",0.739,18,18,"animal organ development","nervous system development",TRUE,TRUE
"GO:0032502","GO:0032502",4,"GO:0007399",0.43,21,21,"developmental process","nervous system development",TRUE,TRUE
"GO:0030522","GO:0030522",2,"GO:0007165",0.915,35,35,"intracellular receptor signaling pathway","signal transduction",TRUE,TRUE
"GO:0071704","GO:0071704",5,"GO:0048511",0.306,1,1,"organic substance metabolic process","rhythmic process",TRUE,TRUE
"GO:0048856","GO:0048856",4,"GO:0007399",0.563,50,50,"anatomical structure development","nervous system development",TRUE,TRUE
"GO:0042127","GO:0042127",2,"GO:0007165",0.49,141,141,"regulation of cell population proliferation","signal transduction",TRUE,TRUE
"GO:0008283","GO:0008283",2,"GO:0007165",0.28,152,152,"cell population proliferation","signal transduction",TRUE,TRUE
"GO:0051239","GO:0051239",5,"GO:0048511",0.234,0,0,"regulation of multicellular organismal process","rhythmic process",TRUE,TRUE
"GO:0008152","GO:0008152",5,"GO:0048511",0.412,8,8,"metabolic process","rhythmic process",TRUE,TRUE
"GO:0045595","GO:0045595",2,"GO:0007165",0.422,37,37,"regulation of cell differentiation","signal transduction",TRUE,TRUE
"GO:0007275","GO:0007275",4,"GO:0007399",0.757,84,84,"multicellular organism development","nervous system development",TRUE,TRUE
"GO:2000628","GO:2000628",1,"GO:0006357",0.516,3,3,"regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:1902893","GO:1902893",1,"GO:0006357",0.925,1,1,"regulation of miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0061614","GO:0061614",1,"GO:0006357",0.619,1,1,"miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0010586","GO:0010586",1,"GO:0006357",0.279,13,13,"miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0009719","GO:0009719",3,"GO:0006954",0.357,0,0,"response to endogenous stimulus","inflammatory response",TRUE,TRUE
"GO:0045165","GO:0045165",2,"GO:0007165",0.202,56,56,"cell fate commitment","signal transduction",TRUE,FALSE
"GO:0009888","GO:0009888",4,"GO:0007399",0.425,35,35,"tissue development","nervous system development",TRUE,TRUE
"GO:2000630","GO:2000630",1,"GO:0006357",0.415,3,3,"positive regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:2000026","GO:2000026",4,"GO:0007399",0.473,0,0,"regulation of multicellular organismal development","nervous system development",TRUE,TRUE
"GO:0060429","GO:0060429",4,"GO:0007399",0.336,5,5,"epithelium development","nervous system development",TRUE,TRUE
"GO:0048731","GO:0048731",4,"GO:0007399",0.864,2,2,"system development","nervous system development",TRUE,TRUE
"GO:0030855","GO:0030855",2,"GO:0007165",0.162,91,91,"epithelial cell differentiation","signal transduction",TRUE,TRUE
"GO:0009790","GO:0009790",4,"GO:0007399",0.613,17,17,"embryo development","nervous system development",TRUE,TRUE
"GO:0050673","GO:0050673",2,"GO:0007165",0.229,49,49,"epithelial cell proliferation","signal transduction",TRUE,FALSE
"GO:0071495","GO:0071495",3,"GO:0006954",0.267,0,0,"cellular response to endogenous stimulus","inflammatory response",TRUE,TRUE
"GO:0030097","GO:0030097",4,"GO:0007399",0.51,64,64,"hemopoiesis","nervous system development",TRUE,TRUE
"GO:0072359","GO:0072359",4,"GO:0007399",0.723,10,10,"circulatory system development","nervous system development",TRUE,TRUE
"GO:1902895","GO:1902895",1,"GO:0006357",0.783,56,56,"positive regulation of miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0050793","GO:0050793",5,"GO:0048511",0.234,7,7,"regulation of developmental process","rhythmic process",TRUE,TRUE
"GO:0050678","GO:0050678",2,"GO:0007165",0.403,18,18,"regulation of epithelial cell proliferation","signal transduction",TRUE,FALSE
"GO:0010033","GO:0010033",3,"GO:0006954",0.267,25,25,"response to organic substance","inflammatory response",TRUE,TRUE
"GO:0070887","GO:0070887",3,"GO:0006954",0.218,0,0,"cellular response to chemical stimulus","inflammatory response",TRUE,TRUE
"GO:0032870","GO:0032870",3,"GO:0006954",0.132,25,25,"cellular response to hormone stimulus","inflammatory response",TRUE,TRUE
"GO:0045597","GO:0045597",2,"GO:0007165",0.331,55,55,"positive regulation of cell differentiation","signal transduction",TRUE,TRUE
"GO:1903131","GO:1903131",4,"GO:0007399",0.403,3,3,"mononuclear cell differentiation","nervous system development",TRUE,FALSE
"GO:0032501","GO:0032501",4,"GO:0007399",0.43,0,0,"multicellular organismal process","nervous system development",TRUE,TRUE
"GO:0009725","GO:0009725",3,"GO:0006954",0.218,41,41,"response to hormone","inflammatory response",TRUE,TRUE
"GO:0008285","GO:0008285",2,"GO:0007165",0.392,453,453,"negative regulation of cell population proliferation","signal transduction",TRUE,TRUE
"GO:0030098","GO:0030098",4,"GO:0007399",0.332,5,5,"lymphocyte differentiation","nervous system development",TRUE,FALSE
"GO:0010628","GO:0010628",1,"GO:0006357",0.34,549,549,"positive regulation of gene expression","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0051240","GO:0051240",5,"GO:0048511",0.194,0,0,"positive regulation of multicellular organismal process","rhythmic process",TRUE,TRUE
"GO:0035295","GO:0035295",4,"GO:0007399",0.632,2,2,"tube development","nervous system development",TRUE,TRUE
"GO:0009653","GO:0009653",4,"GO:0007399",0.456,136,136,"anatomical structure morphogenesis","nervous system development",TRUE,TRUE
"GO:0033993","GO:0033993",3,"GO:0006954",0.21,14,14,"response to lipid","inflammatory response",TRUE,TRUE
"GO:0051094","GO:0051094",5,"GO:0048511",0.194,2,2,"positive regulation of developmental process","rhythmic process",TRUE,TRUE
"GO:0002521","GO:0002521",4,"GO:0007399",0.412,3,3,"leukocyte differentiation","nervous system development",TRUE,FALSE
"GO:0071310","GO:0071310",3,"GO:0006954",0.165,16,16,"cellular response to organic substance","inflammatory response",TRUE,TRUE
"GO:0048568","GO:0048568",4,"GO:0007399",0.595,31,31,"embryonic organ development","nervous system development",TRUE,FALSE
"GO:0050896","GO:0050896",3,"GO:0006954",0.51,64,64,"response to stimulus","inflammatory response",TRUE,FALSE
"GO:0035239","GO:0035239",4,"GO:0007399",0.498,1,1,"tube morphogenesis","nervous system development",TRUE,TRUE
"GO:0030217","GO:0030217",4,"GO:0007399",0.318,42,42,"T cell differentiation","nervous system development",TRUE,FALSE
"GO:0048468","GO:0048468",2,"GO:0007165",0.188,26,26,"cell development","signal transduction",TRUE,TRUE
"GO:0051716","GO:0051716",3,"GO:0006954",0.313,0,0,"cellular response to stimulus","inflammatory response",TRUE,FALSE
"GO:0042221","GO:0042221",3,"GO:0006954",0.357,0,0,"response to chemical","inflammatory response",TRUE,TRUE
"GO:0045596","GO:0045596",2,"GO:0007165",0.331,52,52,"negative regulation of cell differentiation","signal transduction",TRUE,FALSE
"GO:0009887","GO:0009887",4,"GO:0007399",0.595,135,135,"animal organ morphogenesis","nervous system development",TRUE,TRUE
"GO:0061448","GO:0061448",4,"GO:0007399",0.336,2,2,"connective tissue development","nervous system development",TRUE,FALSE
"GO:0001568","GO:0001568",4,"GO:0007399",0.62,44,44,"blood vessel development","nervous system development",TRUE,TRUE
"GO:0007389","GO:0007389",4,"GO:0007399",0.632,31,31,"pattern specification process","nervous system development",TRUE,FALSE
"GO:0008219","GO:0008219",2,"GO:0007165",0.28,35,35,"cell death","signal transduction",TRUE,FALSE
"GO:0006950","GO:0006950",3,"GO:0006954",0.657,0,0,"response to stress","inflammatory response",TRUE,FALSE
"GO:0006915","GO:0006915",2,"GO:0007165",0.195,580,580,"apoptotic process","signal transduction",TRUE,TRUE
"GO:0001944","GO:0001944",4,"GO:0007399",0.659,15,15,"vasculature development","nervous system development",TRUE,TRUE
"GO:0051093","GO:0051093",5,"GO:0048511",0.194,8,8,"negative regulation of developmental process","rhythmic process",TRUE,TRUE
"GO:1901700","GO:1901700",3,"GO:0006954",0.267,0,0,"response to oxygen-containing compound","inflammatory response",TRUE,TRUE
"GO:0061061","GO:0061061",4,"GO:0007399",0.425,11,11,"muscle structure development","nervous system development",TRUE,TRUE
"GO:0007507","GO:0007507",4,"GO:0007399",0.583,216,216,"heart development","nervous system development",TRUE,FALSE
"GO:0033554","GO:0033554",3,"GO:0006954",0.401,11,11,"cellular response to stress","inflammatory response",TRUE,FALSE
"GO:0012501","GO:0012501",2,"GO:0007165",0.229,11,11,"programmed cell death","signal transduction",TRUE,TRUE
"GO:0048732","GO:0048732",4,"GO:0007399",0.638,2,2,"gland development","nervous system development",TRUE,TRUE
"GO:0071396","GO:0071396",3,"GO:0006954",0.132,4,4,"cellular response to lipid","inflammatory response",TRUE,TRUE
"GO:0060443","GO:0060443",4,"GO:0007399",0.427,2,2,"mammary gland morphogenesis","nervous system development",TRUE,FALSE
"GO:0007154","GO:0007154",2,"GO:0007165",0.48,18,18,"cell communication","signal transduction",TRUE,FALSE
"GO:0023052","GO:0023052",5,"GO:0048511",0.412,7,7,"signaling","rhythmic process",TRUE,FALSE
"GO:1903706","GO:1903706",4,"GO:0007399",0.383,11,11,"regulation of hemopoiesis","nervous system development",TRUE,FALSE
"GO:0042981","GO:0042981",2,"GO:0007165",0.347,209,209,"regulation of apoptotic process","signal transduction",TRUE,FALSE
"GO:0007165","GO:0007165",2,"GO:0007165",1,1181,1181,"signal transduction","signal transduction",TRUE,FALSE
"GO:0046649","GO:0046649",2,"GO:0007165",0.194,1,1,"lymphocyte activation","signal transduction",TRUE,FALSE
"GO:0001649","GO:0001649",2,"GO:0007165",0.175,124,124,"osteoblast differentiation","signal transduction",TRUE,FALSE
"GO:1901652","GO:1901652",3,"GO:0006954",0.161,2,2,"response to peptide","inflammatory response",TRUE,TRUE
"GO:0043067","GO:0043067",2,"GO:0007165",0.403,4,4,"regulation of programmed cell death","signal transduction",TRUE,FALSE
"GO:0008284","GO:0008284",2,"GO:0007165",0.392,584,584,"positive regulation of cell population proliferation","signal transduction",TRUE,TRUE
"GO:0045444","GO:0045444",2,"GO:0007165",0.188,76,76,"fat cell differentiation","signal transduction",TRUE,TRUE
"GO:0007399","GO:0007399",4,"GO:0007399",1,376,376,"nervous system development","nervous system development",TRUE,TRUE
"GO:0010941","GO:0010941",2,"GO:0007165",0.49,6,6,"regulation of cell death","signal transduction",TRUE,FALSE
"GO:0009792","GO:0009792",4,"GO:0007399",0.512,23,23,"embryo development ending in birth or egg hatching","nervous system development",TRUE,FALSE
"GO:0048598","GO:0048598",4,"GO:0007399",0.498,11,11,"embryonic morphogenesis","nervous system development",TRUE,FALSE
"GO:1902105","GO:1902105",4,"GO:0007399",0.299,0,0,"regulation of leukocyte differentiation","nervous system development",TRUE,FALSE
"GO:0045321","GO:0045321",2,"GO:0007165",0.224,5,5,"leukocyte activation","signal transduction",TRUE,FALSE
"GO:0042110","GO:0042110",2,"GO:0007165",0.173,56,56,"T cell activation","signal transduction",TRUE,FALSE
"GO:0060548","GO:0060548",2,"GO:0007165",0.392,76,76,"negative regulation of cell death","signal transduction",TRUE,FALSE
"GO:1901522","GO:1901522",1,"GO:0006357",0.768,11,11,"positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0014855","GO:0014855",2,"GO:0007165",0.195,0,0,"striated muscle cell proliferation","signal transduction",TRUE,FALSE
"GO:0051216","GO:0051216",4,"GO:0007399",0.509,57,57,"cartilage development","nervous system development",TRUE,FALSE
"GO:0001890","GO:0001890",4,"GO:0007399",0.489,36,36,"placenta development","nervous system development",TRUE,FALSE
"GO:0060284","GO:0060284",2,"GO:0007165",0.346,0,0,"regulation of cell development","signal transduction",TRUE,TRUE
"GO:0014070","GO:0014070",3,"GO:0006954",0.21,52,52,"response to organic cyclic compound","inflammatory response",TRUE,TRUE
"GO:0001775","GO:0001775",2,"GO:0007165",0.28,13,13,"cell activation","signal transduction",TRUE,FALSE
"GO:0001701","GO:0001701",4,"GO:0007399",0.391,203,203,"in utero embryonic development","nervous system development",TRUE,TRUE
"GO:0045445","GO:0045445",2,"GO:0007165",0.167,21,21,"myoblast differentiation","signal transduction",TRUE,FALSE
"GO:0045619","GO:0045619",4,"GO:0007399",0.237,3,3,"regulation of lymphocyte differentiation","nervous system development",TRUE,FALSE
"GO:0060537","GO:0060537",4,"GO:0007399",0.336,5,5,"muscle tissue development","nervous system development",TRUE,FALSE
"GO:0030099","GO:0030099",4,"GO:0007399",0.412,23,23,"myeloid cell differentiation","nervous system development",TRUE,TRUE
"GO:0060541","GO:0060541",4,"GO:0007399",0.723,4,4,"respiratory system development","nervous system development",TRUE,TRUE
"GO:0042789","GO:0042789",1,"GO:0006357",0.594,46,46,"mRNA transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0002376","GO:0002376",5,"GO:0048511",0.412,46,46,"immune system process","rhythmic process",TRUE,FALSE
"GO:0043434","GO:0043434",3,"GO:0006954",0.139,47,47,"response to peptide hormone","inflammatory response",TRUE,FALSE
"GO:0001503","GO:0001503",4,"GO:0007399",0.306,78,78,"ossification","nervous system development",TRUE,FALSE
"GO:0046632","GO:0046632",4,"GO:0007399",0.307,9,9,"alpha-beta T cell differentiation","nervous system development",TRUE,FALSE
"GO:0043009","GO:0043009",4,"GO:0007399",0.441,5,5,"chordate embryonic development","nervous system development",TRUE,FALSE
"GO:1901701","GO:1901701",3,"GO:0006954",0.165,0,0,"cellular response to oxygen-containing compound","inflammatory response",TRUE,TRUE
"GO:0007417","GO:0007417",4,"GO:0007399",0.874,149,149,"central nervous system development","nervous system development",TRUE,FALSE
"GO:0060038","GO:0060038",4,"GO:0007399",0.321,26,26,"cardiac muscle cell proliferation","nervous system development",TRUE,FALSE
"GO:1901653","GO:1901653",3,"GO:0006954",0.089,10,10,"cellular response to peptide","inflammatory response",TRUE,FALSE
"GO:0009299","GO:0009299",1,"GO:0006357",0.608,5,5,"mRNA transcription","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0045667","GO:0045667",2,"GO:0007165",0.34,13,13,"regulation of osteoblast differentiation","signal transduction",TRUE,FALSE
"GO:0022612","GO:0022612",4,"GO:0007399",0.494,7,7,"gland morphogenesis","nervous system development",TRUE,FALSE
"GO:0070848","GO:0070848",3,"GO:0006954",0.21,15,15,"response to growth factor","inflammatory response",TRUE,FALSE
"GO:0071375","GO:0071375",3,"GO:0006954",0.081,17,17,"cellular response to peptide hormone stimulus","inflammatory response",TRUE,FALSE
"GO:0045580","GO:0045580",4,"GO:0007399",0.226,14,14,"regulation of T cell differentiation","nervous system development",TRUE,FALSE
"GO:0014706","GO:0014706",4,"GO:0007399",0.279,5,5,"striated muscle tissue development","nervous system development",TRUE,FALSE
"GO:1901698","GO:1901698",3,"GO:0006954",0.267,0,0,"response to nitrogen compound","inflammatory response",TRUE,FALSE
"GO:0034097","GO:0034097",3,"GO:0006954",0.21,46,46,"response to cytokine","inflammatory response",TRUE,FALSE
"GO:0010243","GO:0010243",3,"GO:0006954",0.187,14,14,"response to organonitrogen compound","inflammatory response",TRUE,FALSE
"GO:0030324","GO:0030324",4,"GO:0007399",0.509,83,83,"lung development","nervous system development",TRUE,FALSE
"GO:0030879","GO:0030879",4,"GO:0007399",0.563,22,22,"mammary gland development","nervous system development",TRUE,FALSE
"GO:0030323","GO:0030323",4,"GO:0007399",0.595,4,4,"respiratory tube development","nervous system development",TRUE,FALSE
"GO:0009755","GO:0009755",3,"GO:0006954",0.109,48,48,"hormone-mediated signaling pathway","inflammatory response",TRUE,FALSE
"GO:0061036","GO:0061036",4,"GO:0007399",0.351,17,17,"positive regulation of cartilage development","nervous system development",TRUE,FALSE
"GO:0062197","GO:0062197",3,"GO:0006954",0.284,4,4,"cellular response to chemical stress","inflammatory response",TRUE,FALSE
"GO:0071407","GO:0071407",3,"GO:0006954",0.132,42,42,"cellular response to organic cyclic compound","inflammatory response",TRUE,TRUE
"GO:0033002","GO:0033002",2,"GO:0007165",0.229,1,1,"muscle cell proliferation","signal transduction",TRUE,FALSE
"GO:0071363","GO:0071363",3,"GO:0006954",0.132,56,56,"cellular response to growth factor stimulus","inflammatory response",TRUE,FALSE
"GO:0048545","GO:0048545",3,"GO:0006954",0.15,16,16,"response to steroid hormone","inflammatory response",TRUE,FALSE
"GO:0043066","GO:0043066",2,"GO:0007165",0.279,545,545,"negative regulation of apoptotic process","signal transduction",TRUE,FALSE
"GO:0071383","GO:0071383",3,"GO:0006954",0.089,16,16,"cellular response to steroid hormone stimulus","inflammatory response",TRUE,FALSE
"GO:1901699","GO:1901699",3,"GO:0006954",0.165,0,0,"cellular response to nitrogen compound","inflammatory response",TRUE,FALSE
"GO:0043069","GO:0043069",2,"GO:0007165",0.323,16,16,"negative regulation of programmed cell death","signal transduction",TRUE,FALSE
"GO:0003002","GO:0003002",4,"GO:0007399",0.529,0,0,"regionalization","nervous system development",TRUE,FALSE
